ID,Abstract
61,
62,"Skeletal muscles overcome terrestrial, gravitational loading by producing tensile forces that produce movement through joint rotation. Conversely, the microgravity of spaceflight reduces tensile loads in working skeletal muscles, causing an adaptive muscle atrophy. Unfortunately, the design of stable, physiological bioreactors to model skeletal muscle tensile loading during spaceflight experiments remains challenging. Here, we tested a bioreactor that uses initiation and cessation of cyclic, tensile strain to induce hypertrophy and atrophy, respectively, in murine lineage (C2C12) skeletal muscle myotubes. Uniaxial cyclic stretch of myotubes was conducted using a StrexCell® (STB-1400) stepper motor system (0.75 Hz, 12% strain, 60 min day^-1). Myotube groups were assigned as follows: (a) quiescent over 2-or (b) 5-day (no stretch), (c) experienced 2-days (2dHY) or (d) 5-days (5dHY) of cyclic stretch, or (e) 2-days of cyclic stretch followed by a 3-day cessation of stretch (3dAT). Using ß-sarcoglycan as a sarcolemmal marker, mean myotube diameter increased significantly following 2dAT (51%) and 5dAT (94%) vs. matched controls. The hypertrophic, anabolic markers talin and Akt phosphorylation (Thr308) were elevated with 2dHY but not in 3dAT myotubes. Inflammatory, catabolic markers IL-1ß, IL6, and NF-kappaB p65 subunit were significantly higher in the 3dAT group vs. all other groups. The ratio of phosphorylated FoxO3a/total FoxO3a was significantly lower in 3dAT than in the 2dHY group, consistent with elevated catabolic signaling during unloading. In summary, we demonstrated proof-of-concept for a spaceflight research bioreactor, using uniaxial cyclic stretch to produce myotube hypertrophy with increased tensile loading, and myotube atrophy with subsequent cessation of stretch."
63,"Background Age-related muscle decline (sarcopenia) associates with numerous health risk factors and poor quality of life. Drugs that counter sarcopenia without harmful side effects are lacking, and repurposing existing pharmaceuticals could expedite realistic clinical options. Recent studies suggest bisphosphonates promote muscle health; however, the efficacy of bisphosphonates as an anti-sarcopenic therapy is currently unclear. Methods Using Caenorhabditis elegans as a sarcopenia model, we treated animals with 100 nM, 1, 10, 100 and 500 μM zoledronic acid (ZA) and assessed lifespan and healthspan (movement rates) using a microfluidic chip device. The effects of ZA on sarcopenia were examined using GFP-tagged myofibres or mitochondria at days 0, 4 and 6 postadulthood. Mechanisms of ZA-mediated healthspan extension were determined using combined ZA and targeted RNAi gene knockdown across the life-course. ResultsWe found 100 nM and 1 μM ZA increased lifespan (P < 0.001) and healthspan [954 ± 53 (100 nM) and 963 ± 48 (1 μM) vs. 834 ± 59% (untreated) population activity AUC, P < 0.05]. 10 μM ZA shortened lifespan (P < 0.0001) but not healthspan (758.9 ± 37 vs. 834 ± 59, P > 0.05), whereas 100 and 500 μM ZA were larval lethal. ZA (1 μM) significantly improved myofibrillar structure on days 4 and 6 post-adulthood (83 and 71% well-organized myofibres, respectively, vs. 56 and 34% controls, P < 0.0001) and increased well-networked mitochondria at day 6 (47 vs. 16% in controls, P < 0.01). Genes required for ZA-mediated healthspan extension included fdps-1/FDPS-1 (278 ± 9 vs. 894 ± 17% population activity AUC in knockdown + 1 μM ZA vs. untreated controls, respectively, P < 0.0001), daf-16/FOXO (680 ± 16 vs. 894 ± 17%, P < 0.01) and agxt-2/BAIBA (531 ± 23 vs. 552 ± 8%, P > 0.05). Life/healthspan was extended through knockdown of igdb-1/FNDC5 (635 ± 10 vs. 523 ± 10% population activity AUC in gene knockdown vs. untreated controls, P < 0.01) and sir-2.3/SIRT-4 (586 ± 10 vs. 523 ± 10%, P < 0.05), with no synergistic improvements in ZA co-treatment vs. knockdown alone [651 ± 12 vs. 635 ± 10% (igdb-1/FNDC5) and 583 ± 9 vs. 586 ± 10% (sir-2.3/SIRT-4), both P > 0.05]. Conversely, let-756/FGF21 and sir-2.2/SIRT-4 were dispensable for ZA-induced healthspan [630 ± 6 vs. 523 ± 10% population activity AUC in knockdown + 1 μM ZA vs. untreated controls, P < 0.01 (let-756/FGF21) and 568 ± 9 vs. 523 ± 10%, P < 0.05 (sir-2.2/SIRT-4)]. Conclusions Despite lacking an endoskeleton, ZA delays Caenorhabditis elegans sarcopenia, which translates to improved neuromuscular function across the life course. Bisphosphonates might, therefore, be an immediately exploitable anti-sarcopenia therapy."
64,"Bone marrow adipose tissue (MAT) is negatively associated with bone mass. Since osteoblasts and adipocytes are derived from the same precursor cells, adipocyte differentiation may occur at the expense of osteoblast differentiation. We used MAT-deficient Kit W/W-v (MAT-) mice to determine if absence of MAT reduced bone loss in hindlimb-unloaded (HU) mice. Male MAT-and wild-type (WT) mice were randomly assigned to a baseline, control or HU group (n = 10 mice/group) within each genotype and HU groups unloaded for 2 weeks. Femurs were evaluated using micro-computed tomography, histomorphometry and targeted gene profiling. MAT-mice had a greater reduction in bone volume fraction after HU than did WT mice. HU MAT-mice had elevated cancellous bone formation and resorption compared to other treatment groups as well as a unique profile of differentially expressed genes. Adoptive transfer of WT bone marrow-derived hematopoietic stem cells reconstituted c-kit but not MAT in Kit W/W-v mice. The MAT-WT → Kit W/W-v mice lost cancellous bone following 2 weeks of HU. In summary, results from this study suggest that MAT deficiency was not protective, and was associated with exaggerated disuse-induced cancellous bone loss.In long-duration spaceflight, the human skeleton adapts to microgravity by reducing the amount of bone in sites that are weight-bearing 1 . While new countermeasures have been implemented in a mission-specific manner, mitigating the metabolic changes of the skeleton in microgravity remains a challenge to the success of long-duration exploration class missions 2,3 .An increase in bone marrow adipose tissue (MAT) is commonly observed with a decline in bone mass. This association has been observed in humans in iliac crest biopsies and with non-invasive use of magnetic resonance imaging, and in animal models for aging, postmenopausal osteoporosis 4 and disuse [5][6][7][8][9][10][11][12][13][14][15][16] . Increased MAT was reported in humans following long-duration bedrest and in rodents during spaceflight 13,[17][18][19] . Both osteoblasts and adipocytes differentiate from mesenchymal stem cells in the presence of specific transcription factors [20][21][22][23] . Since osteoblasts and adipocytes originate from the same progenitor pool within the bone marrow, it is possible that one cell type could be produced at the expense of the other 20,24-29 . However, a causal relationship has yet to be demonstrated. Thus, while conditions of disuse create a change in balance of cellular function within the bone marrow, it is not clear whether the concurrently observed infiltration of bone marrow fat actively contributes to bone loss.We have previously identified Kit W/W-v mice as deficient in bone marrow adipose tissue (MAT-) in weight-bearing bones 30,31 . These mice have a loss of function mutation in c-kit, a receptor tyrosine kinase, located on selective hematopoietic lineage cells 32,33 . Since an inverse relationship between MAT accumulation and bone mass has been observed, we hypothesized that if MAT plays a causative role, MAT-mice would be resistant to disuse-induced bone loss. To test this hypothesis, we utilized hindlimb unloading (HU) as a ground-based model for spaceflight 34 . The HU model produces skeletal changes in hindlimbs of rodents similar to those observed in astronauts following spaceflight 35 . We therefore compared the skeletal response of adult male WT mice and MAT-mice to HU."
65,"Bone marrow adipose tissue (BMAT) is hypothesized to serve as an expandable/contractible fat depot which functions, in part, to minimize energy requirements for sustaining optimal hematopoiesis. We investigated whether BMAT is required for immune reconstitution following injury. Male wild type (WBB6F1, WT) and BMAT-deficient WBB6F1/J-Kit W /Kit W-v /J (Kit W/W-v ) mice were lethally irradiated. Irradiation was followed by adoptive transfer of 1000 purified WT hematopoietic stem cells (HSCs). The extent of immune reconstitution in blood, bone marrow, and lymph nodes in the irradiated mice was determined using HSCs from green fluorescent protein (GFP)-expressing mice. We also evaluated skeletal response to treatment. Detection of GFP-positive B and T cells in peripheral blood at 4 and 9 weeks following adoptive transfer and in bone marrow and lymph nodes following necropsy revealed excellent immune reconstitution in both WT and BMAT-deficient mice. Adipocytes were numerous in the distal femur of WT mice but absent or rare in Kit W/W-v mice. Bone parameters, including length, mass, density, bone volume, microarchitecture, and turnover balance, exhibited few differences between WT and BMAT-deficient mice. The minimal differences suggest that BMAT is not required for reconstitution of the immune system following lethal radiation and is not a major contributor to the skeletal phenotypes of kit signaling-deficient mice."
66,"Importance. At present, there is no consensus on the concentration of epinephrine/physiological saline for subcutaneous injection into external auditory canal (EAC) under general anesthesia in otoendoscopic surgery. A randomized controlled trial (RCT) research is needed to provide reference, as this concentration can provide satisfactory surgical field clarity while maintaining patients' hemodynamic stability.Objective. Comparison of the effect of subcutaneous injection of different concentrations of epinephrine/physiological saline into EAC under general anesthesia in otoendoscopic surgery on surgical field clarity and hemodynamics.Design. This double-blind, RCT study was about the effect of topical epinephrine injection in otoendoscopic surgery.Setting. This study was conducted at a single institution.Participants. This study included 168 patients conformed to the inclusion criteria.Intervention. Patients were randomized to receive different concentrations of epinephrine/physiological saline injection (1:5000, 1:10,000, 1:20,000, or 1:40,000) into the junction of bone and cartilage at posterior wall of EAC during surgery.Main Outcome Measures. Surgical field clarity was assessed with surgical field clarity grading scale and tympanic membrane flap flipping time. Hemodynamic changes were monitored by clinical parameters of blood pressure, heart rate, and ST segment of ECG.Results. There were no statistically-significant differences in surgical field clarity grade (P = .577) and tympanic membrane flap flipping time (P = .490) among 4 concentration groups. Epinephrine injection did cause an increase in hemodynamic parameters when compared with baseline (P < .05). Compared with the relatively-lower concentration groups (1:20,000 and 1:40,000), the relatively-higher concentration groups (1:5000 and 1:10,000) had more significant and long-lasting effect until 30 minutes after injection. Conclusions and relevance.Four concentration groups of topical epinephrine injection in otoendoscopic surgery have the same effect on surgical field clarity. For the stability of patients' hemodynamics, we would prefer to recommend the use of concentrations with minimal impact on hemodynamics, ranging from 1:20,000 to 1:40,000. Trial registration."
67,"In preparation for a space flight on STS-126, two in vitro culture systems were used to investigate macrophage colony stimulating factor-dependent macrophage differentiation from mouse primary bone marrow cells. The patented Techshot Cell Cult Bioreactor and the BioServe Fluid Processing Apparatus (FPA)1 were operated in different orientations to determine their impact on macrophage growth and differentiation. Bone marrow cell parameters were determined after cells were grown in FPAs incubated at 37°C in vertical or horizontal orientations, and macrophage cell recovery was significantly higher from FPAs that were incubated in the horizontal orientation compared to ""vertical"" FPAs. Similarly, when bone marrow cells were grown in the Techshot bioreactor, there were significant differences in the numbers of macrophages recovered after 7 days, depending on movement and orientation of the bioreactor. Macrophage recovery was highest when the patented bioreactor was rotated in the horizontal, x-axis plane (merry-go-round fashion) compared to static and vertically, y-axis plane rotated (Ferris wheel fashion) bioreactors. In addition, the expression of F4/80 and other differentiation markers varied depending on whether macrophages differentiated in FPAs or in bioreactors. After 7 days, significant differences in size, granularity and molecule expression were seen even when the same primary bone marrow cells were used to seed the cultures. These data show that culture outcomes are highly dependent on the culture device and device orientation. Moreover, the impact of the culture system needs to be understood in order to interpret space flight data."
68,"Bone remodeling of the auditory ossicles and the otic capsule is highly restricted and tightly controlled by the osteoprotegerin (OPG) / receptor activator of nuclear factor kappa-B ligand (RANKL) / receptor activator of nuclear factor kappa-B (RANK) system. In these bony structures, a pathological decrease in OPG expression stimulates osteoclast differentiation and excessive resorption followed by accrual of sclerotic bone, ultimately resulting in the development of otosclerosis, a leading cause of deafness in adults. Understanding the signaling pathways involved in maintaining OPG expression in the ear would shed light on the pathophysiology of otosclerosis"
69,"Previous publications have shown that BRI1 EMS suppressor 1 (BES1), a positive regulator of the brassinosteroid (BR) signalling pathway, enhances cell divisions in the quiescent centre (QC) and stimulates columella stem cell differentiation. Here, it is demonstrated that BZR1, a BES1 homologue, also promotes cell divisions in the QC, but it suppresses columella stem cell differentiation, opposite to the action of BES1. In addition, BR and its BZR1-mediated signalling pathway are shown to alter the expression/subcellular distribution of pin-formed (PINs), which may result in changes in auxin movement. BR promotes intense nuclear accumulation of BZR1 in the root tip area, and the binding of BZR1 to the promoters of several root development-regulating genes, modulating their expression in the root stem cell niche area. These BZR1mediated signalling cascades may account for both the ectopic activation of QC cell divisions as well as the suppression of the columella stem cell differentiation. They could also inhibit auxin-dependent distal stem cell differentiation by antagonizing the auxin/WOX5-dependent pathway. In conclusion, BZR1-/BES1-mediated BR signalling pathways show differential effects on the maintenance of root apical meristem activities: they stimulate ectopic QC division while they show opposite effects on the differentiation of distal columella stem cells in a BR concentration-and BZR1-/BES1-dependent manner."
70,"When positioned horizontally, roots grow down toward the direction of gravity. This phenomenon, called gravitropism, is influenced by most of the major plant hormones including brassinosteroids. Epi-brassinolide (eBL) was previously shown to enhance root gravitropism, a phenomenon similar to the response of roots exposed to the actin inhibitor, latrunculin B (LatB). This led us to hypothesize that eBL might enhance root gravitropism through its effects on filamentous-actin (F-actin). This hypothesis was tested by comparing gravitropic responses of maize (Zea mays) roots treated with eBL or LatB. LatB-and eBL-treated roots displayed similar enhanced downward growth compared with controls when vertical roots were oriented horizontally. Moreover, the effects of the two compounds on root growth directionality were more striking on a slowly-rotating twodimensional clinostat. Both compounds inhibited autotropism, a process in which the root straightened after the initial gravistimulus was withdrawn by clinorotation. Although eBL reduced F-actin density in chemically-fixed Z. mays roots, the impact was not as strong as that of LatB. Modification of F-actin organization after treatment with both compounds was also observed in living roots of barrel medic (Medicago truncatula) seedlings expressing genetically encoded F-actin reporters. Like in fixed Z. mays roots, eBL effects on F-actin in living M. truncatula roots were modest compared with those of LatB. Furthermore, live cell imaging revealed a decrease in global F-actin dynamics in hypocotyls of etiolated M. truncatula seedlings treated with eBL compared to controls. Collectively, our data indicate that eBL-and LatB-induced enhancement of root gravitropism can be explained by inhibited autotropic root straightening, and that eBL affects this process, in part, by modifying F-actin organization and dynamics."
71,"It is theorized that toxic agents are transported from the hyperpermeable gut of burn victims through the lymph, to the systemic circulation, causing global injury. We believe that immune cells respond to leakage of ''toxic lymph'' following trauma causing the attraction of these cells to the perilymphatic space. To test this, we utilized a model of burn on rats to examine changes in a single immune cell population associated with mesenteric lymphatic dysfunction. We examined the ability of serum from these animals to increase permeability in lymphatic endothelial monolayers and disrupt cellular junctions. We also treated burn animals with doxycycline, an inhibitor of microvascular permeability, and observed the effects on immune cell populations, morphometry, and lymphatic endothelial permeability. Burn injury increased the number of MHCII + immune cells along the vessel (>50%). The size and shape of these cells also changed significantly following burn injury. Serum from burn animals increased lymphatic endothelial permeability (*1.5-fold) and induced breaks in VE-cadherin staining. Doxycycline treatment blocked the accumulation of immune cells along the vessel, whereas serum from doxycycline-treated animals failed to increase lymphatic endothelial permeability. The size of cells along the vessel in doxycycline-treated burn animals was not affected, suggesting that the cells already present on the lymphatic vessels still respond to substances in the lymph. These findings suggest that factors produced during burn can induce lymphatic endothelial barrier disruption and lymph produced during traumatic injury can influence the attraction and morphology of immune cell populations along the vessel."
72,"We present CAMDLES (CFD-DEM Artificial Microgravity Developments for Living Ecosystem Simulation), an extension of CFDEM ® Coupling to model biological flows, growth, and mass transfer in artificial microgravity devices. For microbes that accompany humans into space, microgravity-induced alterations in the fluid environment are likely to be a major factor in the microbial experience of spaceflight. Computational modeling is needed to investigate how well ground-based microgravity simulation methods replicate that experience. CAMDLES incorporates agent-based modeling to study inter-species metabolite transport within microbial communities in rotating wall vessel bioreactors (RWVs). Preexisting CFD modeling of RWVs has not yet incorporated growth; CAMDLES employs the simultaneous modeling of biological, chemical, and mechanical processes in a micro-scale rotating reference frame environment. Simulation mass transfer calculations were correlated with Monod dynamic parameters to predict relative growth rates between artificial microgravity, spaceflight microgravity, and 1 g conditions. By simulating a microbial model community of metabolically cooperative strains of Escherichia coli and Salmonella enterica, we found that the greatest difference between microgravity and an RWV or 1 g gravity was when species colocalized in dense aggregates. We also investigated the influence of other features of the system on growth, such as spatial distribution, product yields, and diffusivity. Our simulation provides a basis for future laboratory experiments using this community for investigation in artificial microgravity and spaceflight microgravity. More broadly, our development of these models creates a framework for novel hypothesis generation and design of biological experiments with RWVs, coupling the effects of RWV size, rotation rate, and mass transport directly to bacterial growth in microbial communities."
73,"Cadaverine, a polyamine, has been linked to modification of root growth architecture and response to environmental stresses in plants. However, the molecular mechanisms that govern the regulation of root growth by cadaverine are largely unexplored. Here we conducted a forward genetic screen and isolated a mutation, cadaverine hypersensitive 3 (cdh3), which resulted in increased root-growth sensitivity to cadaverine, but not other polyamines. This mutation affects the BIO3-BIO1 biotin biosynthesis gene. Exogenous supply of biotin and a pathway intermediate downstream of BIO1, 7,8-diaminopelargonic acid, suppressed this cadaverine sensitivity phenotype. An in vitro enzyme assay showed cadaverine inhibits the BIO3-BIO1 activity. Furthermore, cadaverine-treated seedlings displayed reduced biotinylation of Biotin Carboxyl Carrier Protein 1 of the acetyl-coenzyme A carboxylase complex involved in de novo fatty acid biosynthesis, resulting in decreased accumulation of triacylglycerides. Taken together, these results revealed an unexpected role of cadaverine in the regulation of biotin biosynthesis, which leads to modulation of primary root growth of plants."
74,"The application of omics to study Caenorhabditis elegans (C. elegans) in the context of spaceflight is increasing, illuminating the wide-ranging biological impacts of spaceflight on physiology. In this review, we highlight the application of omics, including transcriptomics, genomics, proteomics, multi-omics, and integrated omics in the study of spaceflown C. elegans, and discuss the impact, use, and future direction of this branch of research. We highlight the variety of molecular alterations that occur in response to spaceflight, most notably changes in metabolic and neuromuscular gene regulation. These transcriptional features are reproducible and evident across many spaceflown species (e.g., mice and astronauts), supporting the use of C. elegans as a model organism to study spaceflight physiology with translational capital. Integrating tissue-specific, spatial, and multi-omics approaches, which quantitatively link molecular responses to phenotypic adaptations, will facilitate the identification of candidate regulatory molecules for therapeutic intervention and thus represents the next frontiers in C. elegans space omics research."
75,"Root gravitropism relies on gravity perception by the root cap and requires tightly regulated phytohormone signaling. Here, we isolate a rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil. We identify COILING ROOT IN WATER 1 (CRW1) encoding an ETHYLENE-INSENSITIVE3 (EIN3)-BINDING F-BOX PROTEIN (OsEBF1) as the causative gene for the mutant phenotype. We show that the OsCRW1-EIN3 LIKE 1 and 2 (OsEIL1/2)-ETHYLENE RESPONSE FACTOR 82 (OsERF82) module controls the production of reactive oxygen species in the root tip, subsequently impacting root cap stability, polar localization of PIN-FORMED 2 (OsPIN2), symmetric distribution of auxin, and ultimately gravitropic growth of roots. The OsEIL1/2-OsERF82 ethylene signaling module is effectively impeded by applying gentle mechanical resistance to root tips, including growing in water-saturated paddy soil. We further show that mechanosensing-induced calcium signaling is required and sufficient for antagonizing the ethylene signaling pathway. This study has revealed previously unanticipated interplay among ethylene, auxin, and mechanosensing in the control of plant gravitropism."
76,"The heart and its cellular components are profoundly altered by missions to space and injury on Earth. Further research, however, is needed to characterize and address the molecular substrates of such changes. For this reason, neonatal and adult human cardiovascular progenitor cells (CPCs) were cultured aboard the International Space Station. Upon return to Earth, we measured changes in the expression of microRNAs and of genes related to mechanotransduction, cardiogenesis, cell cycling, DNA repair, and paracrine signaling. We additionally assessed endothelial-like tube formation, cell cycling, and migratory capacity of CPCs. Changes in microRNA expression were predicted to target extracellular matrix interactions and Hippo signaling in both neonatal and adult CPCs. Genes related to mechanotransduction (YAP1, RHOA) were downregulated, while the expression of cytoskeletal genes (VIM, NES, DES, LMNB2, LMNA), non-canonical Wnt ligands (WNT5A, WNT9A), and Wnt/calcium signaling molecules (PLCG1, PRKCA) was significantly elevated in neonatal CPCs. Increased mesendodermal gene expression along with decreased expression of mesodermal derivative markers (TNNT2, VWF, and RUNX2), reduced readiness to form endothelial-like tubes, and elevated expression of Bmp and Tbx genes, were observed in neonatal CPCs. Both neonatal and adult CPCs exhibited increased expression of DNA repair genes and paracrine factors, which was supported by enhanced migration. While spaceflight affects cytoskeletal organization and migration in neonatal and adult CPCs, only neonatal CPCs experienced increased expression of early developmental markers and an enhanced proliferative potential. Efforts to recapitulate the effects of spaceflight on Earth by regulating processes described herein may be a promising avenue for cardiac repair."
77,NASA's space life sciences research programs esta b lished a decades-long legacy of enhancing our ability to safely explore the cosmos. Fr om Sk yla b and the Space Shuttle Program to the
78,NASA's space life sciences research programs esta b lished a decades-long legacy of enhancing our ability to safely explore the cosmos. Fr om Sk yla b and the Space Shuttle Program to the
79,"Cytoplasmic calcium ([Ca 2+ ] cyt ) is a well-characterized second messenger in eukaryotic cells. An elevation in [Ca 2+ ] cyt levels is one of the earliest responses in plant cells after exposure to a range of environmental stimuli. Advances in understanding the role of [Ca 2+ ] cyt in plant development has been facilitated by the use of genetically-encoded reporters such as GCaMP. Most of these studies have relied on promoters such as Cauliflower Mosaic Virus (35S) and Ubiquitin10 (UBQ10) to drive expression of GCaMP in all cell/tissue types. Plant organs such as roots consist of various cell types that likely exhibit unique [Ca 2+ ] cyt responses to exogenous and endogenous signals. However, few studies have addressed this question. Here, we introduce a set of Arabidopsis thaliana lines expressing GCaMP3 in five root cell types including the columella, endodermis, cortex, epidermis, and trichoblasts. We found similarities and differences in the [Ca 2+ ] cyt signature among these root cell types when exposed to adenosine tri-phosphate (ATP), glutamate, aluminum, and salt, which are known to trigger [Ca 2+ ] cyt increases in root cells. These cell type-targeted GCaMP3 lines provide a new resource that should enable more in depth studies that address how a particular environmental stimulus is linked to specific root developmental pathways via [Ca 2+ ] cyt ."
80,"Single-cell RNA sequencing (scRNA-seq) and spatially resolved transcriptomics (SRT) have experienced rapid development in recent years. The findings of spaceflight-based scRNA-seq and SRT investigations are likely to improve our understanding of life in space and our comprehension of gene expression in various cell systems and tissue dynamics. However, compared to their Earth-based counterparts, gene expression experiments conducted in spaceflight have not experienced the same pace of development. Out of the hundreds of spaceflight gene expression datasets available, only a few used scRNA-seq and SRT. In this perspective piece, we explore the growing importance of scRNA-seq and SRT in space biology and discuss the challenges and considerations relevant to robust experimental design to enable growth of these methods in the field."
81,"Suborbital spaceflights now enable human-tended research investigating short-term gravitational effects in biological systems, eliminating the need for complex automation. Here, we discuss a method utilizing KSC Fixation Tubes (KFTs) to both carry biology to suborbital space as well as fix that biology at certain stages of flight. Plants on support media were inserted into the sample side of KFTs preloaded with RNAlater in the fixation chamber. The KFTs were activated at various stages of a simulated flight to fix the plants. RNA-seq analysis conducted on tissue samples housed in KFTs, showed that plants behaved consistently in KFTs when compared to petri-plates. Over the time course, roots adjusted to hypoxia and leaves adjusted to changes in photosynthesis. These responses were due in part to the environment imposed by the encased triple containment of the KFTs, which is a requirement for flight in human spacecraft. While plants exhibited expected reproducible transcriptomic alteration over time in the KFTs, responses to clinorotation during the simulated flight suggest that transcriptomic responses to suborbital spaceflight can be examined using this approach."
82,"Microgravity is known to affect the organization of the cytoskeleton, cell and nuclear morphology and to elicit differential expression of genes associated with the cytoskeleton, focal adhesions and the extracellular matrix. Although the nucleus is mechanically connected to the cytoskeleton through the Linker of Nucleoskeleton and Cytoskeleton (LINC) complex, the role of this group of proteins in these responses to microgravity has yet to be defined. In our study, we used a simulated microgravity device, a 3-D clinostat (Gravite), to investigate whether the LINC complex mediates cellular responses to the simulated microgravity environment. We show that nuclear shape and differential gene expression are both responsive to simulated microgravity in a LINC-dependent manner and that this response changes with the duration of exposure to simulated microgravity. These LINC-dependent genes likely represent elements normally regulated by the mechanical forces imposed by gravity on Earth."
83,"High-energy particle radiation could have a considerable impact on health during space missions. This study evaluated C57BL/6 mice on Day 40 after total-body 56 Fe 26+ irradiation at 0, 1, 2 and 3 gray (Gy). Radiation consistently increased thymus mass (one-way ANOVA: P < 0.005); spleen, liver and lung masses were similar among all groups. In the blood, there was no radiation effect on the white blood cell (WBC) count or major leukocyte types. However, the red blood cell count, hemoglobin, hematocrit and the CD8+ T cytotoxic (Tc) cell count and percentage all decreased, while both the CD4:CD8 (Th:Tc) cell ratio and spontaneous blastogenesis increased, in one or more irradiated groups compared with unirradiated controls (P < 0.05 vs 0 Gy). In contrast, splenic WBC, lymphocyte, B cell and T helper (Th) counts, %B cells and the CD4:CD8 ratio were all significantly elevated, while Tc percentages decreased, in one or more of the irradiated groups compared with controls (P < 0.05 vs 0 Gy). Although there were trends for minor, radiation-induced increases in %CD11b+ granulocytes in the spleen, cells double-labeled with adhesion markers (CD11b+CD54+, CD11b+CD62E+) were normal. Splenocyte spontaneous blastogenesis and that induced by mitogens (PHA, ConA, LPS) was equivalent to normal. In bone marrow, the percentage of cells expressing stem cell markers, Sca-1 and CD34/ Sca-1, were low in one or more of the irradiated groups (P < 0.05 vs 0 Gy). Collectively, the data indicate that significant immunological abnormalities still exist more than a month after 56 Fe irradiation and that there are differences dependent upon body compartment."
84,"The on-going Microbial Observatory Experiments on the International Space Station (ISS) revealed the presence of various microorganisms that may be affected by the distinct environment of the ISS. The low-nutrient environment combined with enhanced irradiation and microgravity may trigger changes in the molecular suite of microorganisms leading to increased virulence and resistance of microbes. Proteomic characterization of two Aspergillus fumigatus strains, ISSFT-021 and IF1SW-F4, isolated from HEPA filter debris and cupola surface of the ISS, respectively, is presented, along with a comparison to experimentally established clinical isolates Af293 and CEA10. In-depth analysis highlights variations in the proteome of both ISS-isolated strains when compared to the clinical strains. Proteins that showed increased abundance in ISS isolates were overall involved in stress responses, and carbohydrate and secondary metabolism. Among the most abundant proteins were Pst2 and ArtA involved in oxidative stress response, PdcA and AcuE responsible for ethanol fermentation and glyoxylate cycle, respectively, TpcA, TpcF, and TpcK that are part of trypacidin biosynthetic pathway, and a toxin Asp-hemolysin."
85,"Secondary metabolite (SM) production in Aspergillus niger JSC-093350089, isolated from the International Space Station (ISS), is reported, along with a comparison to the experimentally established strain ATCC 1015. The analysis revealed enhanced production levels of naphtho-γ-pyrones and therapeutically relevant SMs, including bicoumanigrin A, aurasperones A and B, and the antioxidant pyranonigrin A. Genetic variants that may be responsible for increased SM production levels in JSC-093350089 were identified. These findings include INDELs within the predicted promoter region of flbA, which encodes a developmental regulator that modulates pyranonigrin A production via regulation of Fum21. The pyranonigrin A biosynthetic gene cluster was confirmed in A. niger, which revealed the involvement of a previously undescribed gene, pyrE, in its biosynthesis. UVC sensitivity assays enabled characterization of pyranonigrin A as a UV resistance agent in the ISS isolate."
86,"It has been proposed that neuroinflammatory response plays an important role in the neurovascular remodeling in the brain after stress. The goal of the present study was to characterize changes in the gene expression profiles associated with neuroinflammation, neuronal function, metabolism and stress in mouse brain tissue. Ten-week old male C57BL/6 mice were launched to the International Space Station (ISS) on SpaceX-12 for a 35-day mission. Within 38 ± 4 h of splashdown, mice were returned to Earth alive. Brain tissues were collected for analysis. A novel digital color-coded barcode counting technology (NanoString TM ) was used to evaluate gene expression profiles in the spaceflight mouse brain. A set of 54 differently expressed genes (p < 0.05) significantly segregates the habitat ground control (GC) group from flight (FLT) group. Many pathways associated with cellular stress, inflammation, apoptosis, and metabolism were significantly altered by flight conditions. A decrease in the expression of genes important for oligodendrocyte differentiation and myelin sheath maintenance was observed. Moreover, mRNA expression of many genes related to anti-viral signaling, reactive oxygen species (ROS) generation, and bacterial immune response were significantly downregulated. Here we report that significantly altered immune reactions may be closely associated with spaceflight-induced stress responses and have an impact on the neuronal function."
